IXP_Country_ISO_Alpha2,IXPDB_ID,PDB_ID,IXP_name_IXPDB,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_update_IXPDB,IXP_Website,IXP_Url_Stats
US,148,13,SIX (Seattle Internet Exchange),SIX Seattle,Seattle,North America,2010-07-29T00:00:00Z,2019-08-07T00:01:23Z,https://www.seattleix.net/,https://www.seattleix.net/statistics/
US,138,14,NYIIX (New York International IX),NYIIX,New York,North America,2010-07-29T00:00:00Z,2019-06-17T17:47:54Z,https://www.nyiix.net/locations/nyiix-new-york/,https://www.nyiix.net/mrtg/sum.html
GB,1,18,LINX LON1,LINX LON1,London,Europe,2010-07-29T00:00:00Z,2019-08-07T13:04:58Z,https://www.linx.net/,https://stats.linx.net/
AU,108,21,WA-IX,IX Australia WA,Perth/WA,Australia,2010-07-29T00:00:00Z,2019-08-07T01:01:38Z,http://www.ix.asn.au,https://metrics.ix.asn.au
US,137,23,NYIIX Los Angeles,NYIIX Los Angeles,Los Angeles,North America,2010-07-29T00:00:00Z,2019-06-17T17:48:00Z,https://www.nyiix.net/locations/nyiix-la/,https://www.nyiix.net/LA-mrtg/sum.html
CA,163,24,TorIX (Toronto Internet Exchange),TorIX,Toronto,North America,2010-07-29T00:00:00Z,2019-08-07T13:04:58Z,https://www.torix.ca/,https://www.torix.ca/traffic-statistics/
NL,2,26,AMS-IX,AMS-IX,Amsterdam,Europe,2010-07-29T00:00:00Z,2019-08-07T13:04:58Z,http://www.ams-ix.net/,https://www.ams-ix.net/statistics/
CH,22,29,Equinix Zurich (Equinix Internet Exchange - Zurich),Equinix Zurich,Zurich,Europe,2010-07-29T00:00:00Z,2019-08-07T13:04:58Z,https://www.equinix.ch/services/interconnection-connectivity/internet-exchange/,https://ix.equinix.com/
JP,44,30,JPIX - Tokyo (Japan Internet Exchange - Tokyo),JPIX TOKYO,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,2019-06-17T06:42:25Z,https://www.jpix.ad.jp/en/,https://www.jpix.ad.jp/en/technical_traffic.php
DE,9,31,DE-CIX FRA (DE-CIX Frankfurt),DE-CIX Frankfurt,Frankfurt,Europe,2010-07-29T00:00:00Z,2019-08-07T13:04:58Z,https://fra.de-cix.net,https://www.de-cix.net/en/locations/germany/frankfurt/statistics
CH,7,33,CIXP (CERN Internet Exchange Point),CIXP,Geneva,Europe,2010-07-29T00:00:00Z,2019-06-07T15:00:42Z,http://www.cixp.net/,http://cixp.net/technical/members-traffic
