IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
US,68,255,1,Equinix Ashburn (Equinix Ashburn),Equinix IBX Ashburn,Equinix Ashburn,Ashburn,North America,2010-07-29T00:00:00Z,20021031,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,
US,236,268,2,Equinix Chicago (Equinix Chicago),Equinix Chicago IBX,Equinix Chicago,Chicago,North America,2010-07-29T00:00:00Z,20020304,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,
US,235,278,3,Equinix Dallas (Equinix Dallas),Equinix IBX Dallas,Equinix Dallas,Dallas,North America,2010-07-29T00:00:00Z,20010615,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,
US,234,467,4,Equinix Los Angeles (Equinix Los Angeles),Equinix Los Angeles IBX,Equinix Los Angeles,Los Angeles,North America,2010-07-29T00:00:00Z,20020711,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,
US,233,339,5,Equinix San Jose (Equinix San Jose),Equinix IBX San Jose,Equinix San Jose,San Jose,North America,2010-07-29T00:00:00Z,20000525,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,
US,251,325,7,Equinix Palo Alto (Equinix Palo Alto),Equinix Palo Alto,Equinix Palo Alto,Palo Alto,North America,2010-07-29T00:00:00Z,19941200,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,"[None, None, None, None, None, None, None, None]"
US,439,259,9,Equinix Atlanta (Equinix Atlanta),Equinix Atlanta,Equinix Atlanta,Atlanta,North America,2010-07-29T00:00:00Z,20041203,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,"[None, None]"
US,785,357,10,Equinix Vienna (VA),Equinix-VA,Equinix Vienna (VA),Vienna,North America,2010-07-29T00:00:00Z,20010910,0000-00-00,2019-06-16T21:38:28Z,https://ix.equinix.com,,"[None, None, None, None, None, None, None, None]"
US,343,344,11,Equinix Seattle (Equinix Seattle),Equinix-Seattle,Equinix Seattle,Seattle,North America,2010-07-29T00:00:00Z,20000313,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,"[None, None, None]"
US,237,323,12,Equinix New York (Equinix New York),Equinix-NY(former Paix),Equinix New York,New York,North America,2010-07-29T00:00:00Z,20000314,0000-00-00,2019-08-07T13:04:58Z,https://ix.equinix.com,,"[None, None]"
