id,protocol,prefix
1,IPv4,200.61.194.0/24
864,IPv4,200.0.17.0/24
676,IPv6,2001:13c7:6001::/48
234,IPv4,198.32.240.0/24
200,IPv4,203.34.35.0/24
195,IPv4,198.32.230.0/24
196,IPv4,198.32.231.0/24
197,IPv4,198.32.234.0/24
390,IPv4,218.100.1.0/24
199,IPv4,
866,IPv4,218.100.78.0/24
936,IPv6,2001:7fa:11:1::/64
545,IPv4,198.32.212.0/24
194,IPv6,
198,IPv4,198.32.232.0/24
2,,
1273,IPv4,45.127.172.0/22
1274,IPv6,2001:de8:6::/64
425,IPv4,202.167.228.0/24
417,IPv4,218.100.0.0/24
717,IPv6,2001:7FA:9::
925,IPv4,193.105.214.0/24
926,IPv6,2001:7f8:71::
807,IPv4,193.203.0.0/23
718,IPv6,2001:0628:04fe::/64
3,IPv4,
872,IPv4,198.32.167.0/24
1351,IPv6,
817,IPv4,194.53.172.0/24
617,IPv6,2001:7f8:26::/64
350,IPv4,194.53.172.0/25
488,IPv4,195.85.203.0/24
489,IPv6,2001:7f8:1b::
869,IPv4, 200.219.139.0/24
937,IPv6,2001:12f8:0:3::/64
871,IPv4,200.192.110.0/24
1324,IPv6, 2001:12f8:0:13::/64
841,IPv4,200.219.140.0/24
967,IPv6,2001:12f8:0:4::/64
885,IPv4,200.219.141.0/24
1325,IPv6, 2001:12f8:0:5::/64
468,IPv4,200.219.143.0/24
469,IPv6,2001:12f0:300:1/48
191,IPv4,200.185.100.0/24
4,,
5,,
6,,
504,IPv4,200.185.4.0/24
296,IPv4,198.32.122.0/24
1329,IPv6, 2001:478:122::/64
792,IPv4,187.16.216.0/22
750,IPv6,2001:12f8:0:0000::/64
505,IPv4,
7,,
8,,
511,IPv4,
193,IPv4,198.32.156.0/24
262,IPv4,
897,IPv4,198.32.235.0/24
761,IPv6,2001:478:235::/64
572,IPv4,198.133.49.0/24
814,IPv4,206.108.34.0/23
255,IPv6,2001:0504:001A::34:0/111
719,IPv4,
763,IPv4,192.168.173.0/24
9,,
10,IPv4,
11,,
12,,
13,IPv4,
14,,
15,,
408,IPv4,206.223.124.0/24
1332,IPv6,2001:13c7:6000::/64
16,,
859,IPv4,185.1.87.0/24
966,IPv6,2001:7f8:28::/48
757,IPv4,
17,IPv4,200.0.16.0/24
476,IPv4,
18,,
801,IPv4,91.210.16.0/22
356,IPv6,2001:7f8:14::
829,IPv4,192.38.7.0/24
506,IPv6,2001:07F8:001F::/48
893,IPv4, 200.110.120.0/24
364,IPv6,2001:13C7:6F40::/48
860,IPv4, 200.1.6.0/24
363,IPv6,2001:13C7:6F00::/48
622,IPv4,81.21.96.0/24
326,IPv6,2001:4300:96::/48
19,IPv4,195.234.168.0/24
477,IPv4,
787,IPv4,195.66.224.0/22
756,IPv4,195.66.236.0/22
20,IPv6,2001:7F8:4::/64
190,IPv4,195.66.230.0/24
460,IPv4,193.109.219.0/24
461,IPv6,2001:07f8:5::205a:
822,IPv4,5.57.80.0/22
273,IPv6,2001:7f8:17::/48
260,IPv6,
22,IPv4,217.79.160.0/23
23,IPv6,2001:07f8:0001:0001::/64
746,IPv4,212.121.34.0/24
1557,IPv4,194.116.188.0/23
204,IPv6,2001:7f8:15::/48
634,IPv4,212.47.215.0/24
422,IPv6,
751,IPv4,193.110.224.0/24
498,IPv6,2001:7f8:7:1::/64
499,IPv6,2001:7f8:7:b::/64
496,IPv4,193.110.224.0/24
497,IPv4,
875,IPv4,195.140.192.0/24
254,IPv6,2001:7f8:1d:4::/64
851,IPv4,77.95.71.0/24
623,IPv6,2001:7f8:47:47::/64
663,IPv4,213.228.3.0/24
677,IPv4,198.32.148.0/24
271,IPv4,
209,IPv4,194.68.129.0/24
370,IPv4,
24,IPv4,198.32.247.0/24
297,IPv4,198.32.246.0/24
968,IPv6,2001:7F8:2D::/48
835,IPv4,194.68.129.0/24
358,IPv6,2001:7f8:4e:2::/64
664,IPv4,62.35.254.0/24
665,IPv6,2001:860:0:6::
826,IPv4,193.178.185.0/24
969,IPv6,2001:7F8:19:1::/64
265,IPv4,
774,IPv4,194.9.117.0/24
1138,IPv6,2001:7f8:8:5::/64
605,IPv4,194.146.118.0/24
308,IPv6,2001:7F8:8::/64
293,IPv4,80.81.200.0/24
632,IPv4,80.81.192.0/21
357,IPv6,2001:7f8::/64
25,IPv4,194.31.232.0/24
678,IPv4,192.67.199.0/24
26,,
852,IPv4,62.208.162.0/24
775,IPv6,2001:7f8:2c:2000::/64 
27,IPv4,
827,IPv4,80.81.203.0/24
1315,IPv6,2001:7f8:3d::/64
282,IPv4,213.238.34.0/24
838,IPv4,194.59.190.0/24
441,IPv6,2001:7f8:2c:1000::/64
28,IPv4,194.112.112.0/24
371,IPv4,
29,IPv4,
402,IPv4,195.85.217.0/24
304,IPv6,2001:7f8:29:1::
752,IPv4,196.201.2.0/24
842,IPv4,176.126.38.0/25
941,IPv6,2001:7f8:6e::/64
30,IPv4,
31,IPv6,
32,IPv6,
794,IPv4,202.40.160.0/23
368,IPv6,2001:7FA:0:1::/64
1275,IPv4,123.255.88.0/21
33,IPv4,
34,,
809,IPv4,193.188.137.0/24
382,IPv6,2001:7f8:35::/64
867,IPv4,195.130.211.0/26
970,IPv6,2001:7f8:48::/64
35,,
36,IPv4,
843,IPv4,218.100.48.64/26
938,IPv6, 2001:de8:1:1::/64
736,IPv4,218.100.48.0/26
939,IPv6,2001:de8:1::/64
754,IPv4,218.100.48.128/26
755,IPv4,
1337,IPv6,2001:de8:1:2::/64
909,IPv4,218.100.48.192/26
1338,IPv6, 2001:de8:1:5::/64
37,,
38,,
537,IPv4,198.32.202.0/24
539,IPv4,198.32.203.0/24
540,IPv4,198.32.204.0/24
541,IPv4,198.32.205.0/24
584,IPv4,103.28.74.0/23
39,IPv6,2001:7FA:2::/64
40,IPv4,119.11.184.0/24
515,IPv4,
42,IPv4,218.100.4.0/24
971,IPv6,
43,,
662,IPv4,194.88.240.0/25
1250,IPv4,185.6.36.0/23
618,IPv6,2001:7f8:18::/48
236,IPv6,2001:7f8:18:12:/48
661,IPv4,193.242.111.0/25
237,IPv4,193.1.208.192/26
762,IPv4,192.114.62.0/24
1615,IPv6,2001:7f8:3b::/64
811,IPv4,217.29.66.0/24
435,IPv6, 2001:7f8:b:100::/64
44,IPv4,
45,,
836,IPv4,193.201.40.0/24
300,IPv6,2001:7f8:10::/48
832,IPv4,194.116.96.0/24
352,IPv6,2001:7f8:23:ffff::/64
372,IPv4,
770,IPv4,
381,IPv4,
972,IPv6,
46,IPv4,
366,IPv4,103.246.232.0/24
1549,IPv6,2001:de8:8:6::/64
820,IPv4,
944,IPv6,
210,IPv4,202.249.2.0/24
214,IPv4,
973,IPv6,2001:200:0:FE10::/64
804,IPv4,210.171.224.0/24
246,IPv6,2001:de8:8::/64
793,IPv4,
47,IPv6,
48,,
49,IPv4,
327,IPv4,202.249.2.0/24
1346,IPv6,2001:200:0:fe00::/64
328,IPv6,3ffe:501:0:1800:200:f8ff:fe1f:7490
50,,
51,IPv4,218.100.6.0/24
974,IPv6,2001:0DE8:000C::/64
351,IPv4,
52,IPv4,218.100.7.0/24
975,IPv6,2001:de8:c:2::/48
53,IPv4,
54,IPv4,
1055,IPv6,
268,IPv4,218.100.6.0/24
269,IPv4,203.190.230.0/25
976,IPv6,2001:DE8:5::/64
928,IPv4,196.223.21.0/24
621,IPv6,2001:43f8:0060::/48
453,IPv6,
55,IPv4,198.32.209.0/24
340,IPv4,198.32.209.0/24
810,IPv4,192.145.251.0/24
